Posición,Precio,Volumen,Hora
RFX20042021,65100.0,25,15:25:24
RFX20042021,65100.0,25,15:25:17
GGAL042021,118.5,3,15:24:58
RFX20042021,65095.0,4,15:24:53
RFX20042021,65090.0,4,15:24:11
RFX20042021,65090.0,1,15:24:08
RFX20042021,65035.0,1,15:21:53
GGAL062021,123.9,12,15:21:52
RFX20042021,65030.0,1,15:20:08
RFX20042021,65100.0,4,15:17:44
RFX20042021,65055.0,1,15:17:21
RFX20042021,65010.0,5,15:17:07
RFX20042021,65010.0,5,15:16:38
RFX20042021,65015.0,5,15:16:37
RFX20042021,65010.0,5,15:16:37
WTI052021,62.9,1,15:16:32
GGAL042021,118.4,1,15:16:09
GGAL042021,118.3,10,15:15:28
GGAL042021,118.3,10,15:15:25
GGAL042021,118.3,10,15:15:01
GGAL042021,118.45,10,15:14:02
GGAL042021,118.6,1,15:14:00
GGAL042021,118.5,1,15:13:23
RFX20042021,65010.0,5,15:13:04
GGAL042021,118.3,1,15:12:24
RFX20062021,69750.0,2,15:11:55
GGAL042021,118.25,5,15:11:54
RFX20062021,69670.0,2,15:11:53
GGAL042021,118.3,5,15:11:46
RFX20042021,65125.0,2,15:11:29
RFX20042021,65100.0,1,15:11:18
RFX20042021,65120.0,4,15:11:18
RFX20042021,65125.0,5,15:11:13
RFX20042021,65120.0,3,15:11:07
RFX20042021,65100.0,9,15:11:03
GGAL042021,118.3,1,15:10:49
GGAL042021,118.2,2,15:10:23
GGAL042021,118.15,5,15:10:20
GGAL042021,118.15,5,15:10:13
RFX20042021,65080.0,1,15:09:56
GGAL042021,118.15,5,15:09:50
RFX20042021,64950.0,1,15:05:11
GGAL062021,123.9,1,15:04:51
GGAL042021,118.05,1,15:04:51
GGAL062021,123.9,1,15:04:47
GGAL042021,118.05,1,15:04:46
GGAL042021,118.05,1,15:04:31
GGAL062021,123.9,1,15:04:31
RFX20042021,64945.0,3,15:03:47
RFX20042021,64955.0,1,15:03:12
GGAL042021,118.05,5,15:02:02
RFX20042021,65030.0,1,15:01:00
GGAL042021,118.2,5,15:00:42
RFX20042021,65030.0,2,15:00:33
DLR102021,113.0,30,14:59:58
DLR042021,93.56,5,14:59:54
DLR042021,93.56,15,14:59:54
DLR102021,113.0,20,14:59:54
DLR082021,105.55,8,14:59:50
DLR042021,93.57,1000,14:59:50
DLR112021,117.0,20,14:59:46
DLR042021,93.56,1000,14:59:43
DLR082021,105.45,1,14:59:36
DLR062021,98.95,4,14:59:27
DLR122021,123.0,1000,14:59:23
DLR082021,105.41,198,14:59:14
DLR072021,101.9,1000,14:59:12
